"Area","Feature","Identifier","SpecFamily","SpecSection","ServerRule","Source","EvidenceType","Notes"
"SMB2 NEGOTIATE","NegotiateContextOffset alignment","SPEC_NEG_CONTEXT_ALIGN","MS-SMB2","2.2.3.1","For SMB 3.1.1, NegotiateContextOffset must be 8-byte aligned from the SMB2 header.","src/protocol/smb2/smb2_negotiate.c:818-824","direct code comment","Directly enforced in code."
"SMB2 NEGOTIATE","Mandatory PREAUTH context","SPEC_NEG_PREAUTH_MANDATORY","MS-SMB2","3.3.5.4","SMB 3.1.1 negotiate must contain exactly one PREAUTH_INTEGRITY context.","src/protocol/smb2/smb2_negotiate.c:898-903","direct code comment","Current matrix still needs packet-level duplicate and omission proof."
"SMB2 NEGOTIATE","PREAUTH hash algorithm","SPEC_NEG_PREAUTH_SHA512","MS-SMB2","3.3.5.4","PREAUTH hash algorithm must be SHA-512.","src/protocol/smb2/smb2_negotiate.c:905-917","direct code comment","Correctness depends on wire-negative coverage too."
"SMB2 SESSION_SETUP","SecurityBufferOffset minimum and alignment","SPEC_SESS_SECURITY_BUFFER","MS-SMB2","2.2.5","SecurityBufferOffset must be at least the Buffer field offset and 8-byte aligned.","src/protocol/smb2/smb2_session.c:991-998","direct code comment","Current code enforces both."
"SMB2 IOCTL","Flags value space","SPEC_IOCTL_FLAGS","MS-SMB2","2.2.31","Flags must be SMB2_0_IOCTL_IS_FSCTL; other values are invalid.","src/protocol/smb2/smb2_ioctl.c:96-107","direct code comment","Good example of exact value-level compliance logic."
"SMB2 CHANGE_NOTIFY","Last request in compound","SPEC_NOTIFY_LAST_COMPOUND","MS-SMB2","3.3.5.19","CHANGE_NOTIFY may go async and must be the last command in a compound chain.","src/protocol/smb2/smb2_notify.c:45-55","direct code comment","Behavior is intentionally matched to Windows first/subsequent request status split."
"SMB2 CLOSE","Flags enumeration","SPEC_CLOSE_FLAGS","MS-SMB2","2.2.15","Only 0x0000 and SMB2_CLOSE_FLAG_POSTQUERY_ATTRIB are valid.","src/protocol/smb2/smb2_misc_cmds.c:171-173","direct code comment","Undefined flag values are rejected."
"SMB2 TRANSFORM","Encrypted header flags","SPEC_TRANSFORM_FLAGS","MS-SMB2","2.2.41","SMB2 TRANSFORM_HEADER Flags must be 0x0001.","src/protocol/smb2/smb2_pdu_common.c:1587-1594","direct code comment","Malformed encrypted wrappers are rejected before decryption."
"SMB2 CREATE","Create request name length parity","SPEC_CREATE_NAMELEN_UTF16","MS-SMB2","2.2.13","NameLength must be a multiple of 2 because it is UTF-16LE.","src/protocol/smb2/smb2_create.c:1322-1329","direct code comment","This remains a common malformed-packet edge case."
"SMB2 CREATE","Create context generic parser invariants","SPEC_CREATE_CONTEXT_PARSER","MS-SMB2","2.2.13.2","Next must be 8-byte aligned; NameOffset must point to Buffer; DataOffset must be 8-byte aligned and in-range.","src/protocol/smb2/smb2_create.c:1109-1141; src/fs/oplock.c:3376-3401","direct code + inferred from structure rules","This is one of the highest-value parser contracts in the tree."
