"Family","Rule","Identifier","Implemented","CurrentStatus","Source","ObservedBehavior","Notes"
"SMB_COM_TRANSACTION","Single-fragment request offsets validated","TRANS_SINGLE_FRAGMENT_BOUNDS","yes","partial","src/protocol/smb1/smb1pdu.c:2523-2532,2568-2575","Malformed offsets are rejected; no multi-fragment assembly path is documented here.","Works as a one-shot transaction parser."
"SMB_COM_TRANSACTION","Response uses zero displacement fields","TRANS_RESPONSE_ZERO_DISPLACEMENT","yes","partial","src/protocol/smb1/smb1pdu.c:2683-2693","ParameterDisplacement and DataDisplacement are always zero.","Indicates response fragmentation is not being used."
"SMB_COM_TRANSACTION2","Primary request detects mismatch between total and received parameter/data counts","TRANS2_INCOMPLETE_DETECT","partial","partial","src/protocol/smb1/smb1pdu.c:5293-5308","`incomplete = true` is set, but no complete reassembly flow is visible in this block.","Evidence suggests partial groundwork without a complete multi-fragment implementation."
"SMB_COM_TRANSACTION2","TRANS2 subcommand dispatch assumes primary request contains usable parameter/data areas","TRANS2_PRIMARY_ONLY_DISPATCH","yes","partial","src/protocol/smb1/smb1pdu.c:8306-8362","Subcommand handlers are invoked directly after primary-buffer bounds checks.","No dedicated `SMB_COM_TRANSACTION2_SECONDARY` handler was found."
"SMB_COM_TRANSACTION2_SECONDARY","Secondary command named in string table but no dispatch implementation found","TRANS2_SECONDARY_MISSING","no","failing","src/protocol/smb1/smb1pdu.c:77; src/protocol/smb1/smb1ops.c","String identifier exists, but no handler entry or implementation was found.","This is a legacy interoperability gap for large TRANS2 requests."
"SMB_COM_NT_TRANSACT","Primary request supports several subcommands in one-shot mode","NT_TRANSACT_PRIMARY_SUBCOMMANDS","yes","partial","src/protocol/smb1/smb1pdu.c:10323-10366","CREATE/IOCTL/SECURITY/NOTIFY/RENAME/QUOTA dispatch exists.","Primary only is not enough for full legacy compliance."
"SMB_COM_NT_TRANSACT","Response uses zero displacement fields","NT_TRANSACT_RESPONSE_ZERO_DISPLACEMENT","yes","partial","src/protocol/smb1/smb1pdu.c:9771-9778","NT transact responses emitted here are single-chunk with zero displacements.","Another sign that response fragmentation is not implemented."
"SMB_COM_NT_TRANSACT_SECONDARY","Secondary fragments are not implemented","NT_TRANSACT_SECONDARY_STUB","no","failing","src/protocol/smb1/smb1pdu.c:10370-10382","Stub returns STATUS_NOT_SUPPORTED.","Direct compliance blocker for fragmented legacy NT transact flows."
"SMB1 SEARCH / FIND state","Find-first and find-next preserve server-side search state, not packet reassembly state","TRANS2_FIND_STATE_ONLY","yes","partial","src/protocol/smb1/smb1pdu.c:8330-8335","State exists for directory search handles, but that is not transaction fragmentation support.","Useful distinction when planning SMB1 completion work."
"SMB1 response packing","TRANS2 reply helpers emit full counts in a single reply body","TRANS2_REPLY_SINGLE_PACKET","yes","partial","src/protocol/smb1/smb1pdu.c:5516,6974-6984,7210-7220","Helpers build one reply with TotalDataCount equal to DataCount in emitted chunk.","Large reply continuation behavior is not documented as implemented."
