"Area","Scenario","Identifier","Dialects","Implemented","Evidence","CurrentStatus","PrimarySource","TestMapping","ObservedInterop","Notes"
"Lease","Initial R lease grant","LEASE_R_GRANT","2.1-3.1.1","yes","code + category","partial","src/fs/oplock.c:380-408,864-898","tests/ksmbd-torture/categories/T15_lease.sh:T15.01 -> smb2.lease.request","TESTS/SWEEP/summary.txt:56,71 show smb2.lease failures/timeouts","Basic grant path exists, but local sweep shows the lease suite is not clean."
"Lease","R to RW upgrade","LEASE_UPGRADE_RW","2.1-3.1.1","yes","code + category","partial","src/fs/oplock.c:751-782","tests/ksmbd-torture/categories/T15_lease.sh:T15.02,T15.11","TESTS/SWEEP/summary.txt:56,71 show smb2.lease failures/timeouts","Upgrade semantics need exact break/ack proof."
"Lease","RWH lease grant","LEASE_RWH_GRANT","2.1-3.1.1","yes","code + category","partial","src/fs/oplock.c:790-816,864-898","tests/ksmbd-torture/categories/T15_lease.sh:T15.03","TESTS/SWEEP/summary.txt:56,71 show smb2.lease failures/timeouts","Handle-caching heavy path is critical to durable-handle compatibility."
"Lease","Break RW to R","LEASE_BREAK_RW_TO_R","2.1-3.1.1","yes","code + category","partial","src/fs/oplock.c:530-567","tests/ksmbd-torture/categories/T15_lease.sh:T15.04","TESTS/SWEEP/summary.txt:56,71 show smb2.lease failures/timeouts","Observed suite failures mean this is not production-clean yet."
"Lease","Break RWH to RW","LEASE_BREAK_RWH_TO_RW","2.1-3.1.1","yes","code + category","partial","src/fs/oplock.c:592-618","tests/ksmbd-torture/categories/T15_lease.sh:T15.05","TESTS/SWEEP/summary.txt:56,71 show smb2.lease failures/timeouts","Downgrade path exists in code."
"Lease","Break to NONE on conflict","LEASE_BREAK_TO_NONE","2.1-3.1.1","yes","code + category","partial","src/fs/oplock.c:629-709","tests/ksmbd-torture/categories/T15_lease.sh:T15.06","TESTS/SWEEP/summary.txt:56,71 show smb2.lease failures/timeouts","Needs exact status and timing validation."
"Lease","Break ack with correct state","LEASE_ACK_VALID","2.1-3.1.1","yes","category + code path","partial","src/protocol/smb2/smb2_misc_cmds.c:428+","tests/ksmbd-torture/categories/T15_lease.sh:T15.07","No clean per-test local proof captured","Ack path exists but per-case interop proof is missing."
"Lease","Break ack with wrong state","LEASE_ACK_WRONG_STATE","2.1-3.1.1","yes","category + code path","partial","src/protocol/smb2/smb2_misc_cmds.c:428+","tests/ksmbd-torture/categories/T15_lease.sh:T15.08","No clean per-test local proof captured","Needs exact NTSTATUS and lease-state transition proof."
"Lease","Same lease key reused across opens","LEASE_KEY_REUSE","2.1-3.1.1","yes","category","partial","src/fs/oplock.c:380-408,351-380","tests/ksmbd-torture/categories/T15_lease.sh:T15.09","No clean per-test local proof captured","Key sharing semantics are client-visible and must be deterministic."
"Lease","Different lease keys remain independent","LEASE_KEY_DISTINCT","2.1-3.1.1","yes","category","partial","src/fs/oplock.c:351-380,864-898","tests/ksmbd-torture/categories/T15_lease.sh:T15.10 -> smb2.lease.complex1","No clean per-test local proof captured","Needs concurrency proof."
"Lease","Parent directory lease break on child create","LEASE_PARENT_BREAK","2.1-3.1.1","yes","code + category","partial","src/protocol/smb2/smb2_query_set.c:4094-4115","tests/ksmbd-torture/categories/T15_lease.sh:T15.12,T15.14","TESTS/SWEEP/summary.txt:31,48 show smb2.dirlease failures/timeouts","Directory-lease area is currently red in local sweep evidence."
"Lease","Lease V2 epoch increment on break","LEASE_V2_EPOCH","3.x","yes","code + category","partial","src/fs/oplock.c:400-401,812-816","tests/ksmbd-torture/categories/T15_lease.sh:T15.13","TESTS/SWEEP/logs/smb2.replay.log:73,82,91,100 show lease new_state mismatch evidence","Epoch/state handling remains suspect under replay-heavy cases."
"Lease","Durable handle requires handle-caching lease","LEASE_DURABLE_REQUIREMENT","2.1-3.1.1","yes","code + category","partial","src/fs/vfs_cache.c:1425-1431","tests/ksmbd-torture/categories/T15_lease.sh:T15.15","Indirect only","Needs enforcement proof against incorrect combinations."
"Lease","Lease break timeout","LEASE_BREAK_TIMEOUT","2.1-3.1.1","yes","category","partial","src/fs/oplock.c:530-709","tests/ksmbd-torture/categories/T15_lease.sh:T15.16 -> smb2.lease.timeout","No clean local proof captured","Timeout behavior is client-sensitive."
"Lease","Directory lease open","LEASE_DIRECTORY_OPEN","3.x","yes","category","partial","src/fs/oplock.c:398-400","tests/ksmbd-torture/categories/T15_lease.sh:T15.17 -> smb2.durable-open.open2-lease","TESTS/SWEEP/summary.txt:31,48 show dirlease failures/timeouts","Directory lease coverage is still weak."
"Lease","Closing last handle releases lease","LEASE_CLOSE_RELEASES","2.1-3.1.1","yes","code + category","partial","src/fs/oplock.c:819-860","tests/ksmbd-torture/categories/T15_lease.sh:T15.18","No clean per-test local proof captured","Requires race testing with async breaks."
"DurableV1","DHnQ durable create","DHV1_CREATE","2.0.2-3.1.1","yes","code + sweep + category","partial","src/protocol/smb2/smb2_create.c:2829-2860,2919-3036","tests/ksmbd-torture/categories/T27_durable_v1.sh:T27.01","TESTS/SWEEP/summary.txt:34,47 show smb2.durable-open 13 pass / 12 fail / 1 skip","Core feature exists but is not close to clean."
"DurableV1","DHnC durable reconnect","DHV1_RECONNECT","2.0.2-3.1.1","yes","code + sweep + category","partial","src/protocol/smb2/smb2_create.c:968-983,1656; src/fs/vfs_cache.c:1875-1935","tests/ksmbd-torture/categories/T27_durable_v1.sh:T27.02","TESTS/SWEEP/summary.txt:34,47 show smb2.durable-open failures","Reconnect is present, but interop remains unstable."
"DurableV1","Reconnect after timeout expiry","DHV1_TIMEOUT","2.0.2-3.1.1","yes","code + category","partial","src/fs/vfs_cache.c:1659-1766","tests/ksmbd-torture/categories/T27_durable_v1.sh:T27.03","TESTS/SWEEP/summary.txt:35,48 show disconnect-specific coverage but not clean proof","Timer and scavenger logic exist."
"DurableV1","Durable request without batch oplock","DHV1_NO_BATCH_OPLOCK","2.0.2-3.1.1","yes","category + code comments","partial","src/fs/vfs_cache.c:1427-1431","tests/ksmbd-torture/categories/T27_durable_v1.sh:T27.04","No direct sweep line for subcase","Needs exact grant-rejection proof."
"DurableV1","Durable handle with lease H","DHV1_WITH_LEASE_H","2.1-3.1.1","yes","category + code","partial","src/fs/vfs_cache.c:1427-1431","tests/ksmbd-torture/categories/T27_durable_v1.sh:T27.05","No direct sweep line for subcase","Key compatibility point for modern clients using lease+durable."
"DurableV1","File position and data survive reconnect","DHV1_DATA_PERSIST","2.0.2-3.1.1","yes","category","partial","src/fs/vfs_cache.c:1875-1935","tests/ksmbd-torture/categories/T27_durable_v1.sh:T27.06","Local sweep for durable-open is failing overall","Per-subcase proof still needed."
"DurableV1","Lock state survives reconnect","DHV1_LOCK_PERSIST","2.0.2-3.1.1","yes","category + lock code","partial","src/protocol/smb2/smb2_lock.c:442-567","tests/ksmbd-torture/categories/T27_durable_v1.sh:T27.07","Local sweep for durable-open is failing overall","Must be validated alongside replay sequence handling."
"DurableV1","Scavenger cleanup does not remove live reconnect state","DHV1_SCAVENGER","2.0.2-3.1.1","yes","code + category","partial","src/fs/vfs_cache.c:1473-1668","tests/ksmbd-torture/categories/T27_durable_v1.sh:T27.08","No direct clean proof captured","Needs long-duration stress."
