"Identifier","Area","ImplementationSource","UnitExposure","AutomatedTestAsset","LiveArtifact","ProofStrength","CurrentStatus","Gaps","Notes"
"NEG_CONTEXT_OFFSET_ALIGN","SMB2 NEGOTIATE","src/protocol/smb2/smb2_negotiate.c:818-824","deassemble_neg_contexts exported for KUnit visibility in src/protocol/smb2/smb2_negotiate.c:597-747","tests/ksmbd-torture/categories/T01_negotiate.sh","none normalized","low","partial","No concrete KUnit case found in tree; category exists but packet-negative proof is missing.","Parser is present, proof is weak."
"SESS_SECURITY_BUFFER_ALIGN","SMB2 SESSION_SETUP","src/protocol/smb2/smb2_session.c:991-1008","generate_preauth_hash and token helpers exported for KUnit visibility in src/protocol/smb2/smb2_session.c","tests/ksmbd-torture/categories/T02_session.sh","none normalized","low","partial","Need malformed-buffer protocol tests and actual KUnit assertions.","The tree exposes helpers but not visible KUnit cases."
"IOCTL_FLAGS_FSCTL_ONLY","SMB2 IOCTL","src/protocol/smb2/smb2_ioctl.c:96-107","none found","tests/ksmbd-torture/categories/T19_ioctl_validate.sh","TESTS/SWEEP/logs/smb2.ioctl.log","medium","partial","Need exact subcase extraction for invalid Flags.","Local sweep has generic IOCTL coverage, not row-level proof."
"NOTIFY_LAST_IN_COMPOUND","SMB2 CHANGE_NOTIFY","src/protocol/smb2/smb2_notify.c:50-55","notify cancel helpers exported for KUnit visibility in src/fs/ksmbd_notify.c:190-207","tests/ksmbd-torture/categories/T26_notify.sh","TESTS/SWEEP/summary.txt lines for smb2.notify","medium","failing","Notify suite is timing-unstable and not clean.","Behavior exists, proof shows failures."
"TRANSFORM_FLAGS_ENCRYPTED_ONLY","SMB2 TRANSFORM","src/protocol/smb2/smb2_pdu_common.c:1587-1594","fill_transform_hdr and nonce helpers exported for KUnit visibility in src/protocol/smb2/smb2_pdu_common.c:1467-1527","none direct","none normalized","low","partial","Need encrypted negative-wire tests and transform-wrapper packet cases.","Current proof is implementation-only."
"CREATE_CONTEXT_PARSER","SMB2 CREATE","src/protocol/smb2/smb2_create.c:1109-1141; src/fs/oplock.c:3376-3401","parse_durable_handle_context exported for KUnit visibility in src/protocol/smb2/smb2_create.c:862-1095","tests/ksmbd-torture/categories/T04_create.sh","none normalized","low","partial","Need malformed create-context packet corpus and KUnit cases.","High-value parser, weak proof."
"DHV2_RECONNECT","SMB2 durable-v2","src/protocol/smb2/smb2_create.c:888-918,1623-1656; src/fs/vfs_cache.c:1875-1935","parse_durable_handle_context exported for KUnit visibility","tests/ksmbd-torture/categories/T28_durable_v2.sh","TESTS/SWEEP/summary.txt durable-v2 lines; TESTS/SWEEP/logs/smb2.durable-v2-open.log","high","failing","Core suite exists and currently fails heavily.","This is one of the strongest failure-evidence rows."
"LOCK_REPLAY_SEQUENCE","SMB2 lock replay","src/protocol/smb2/smb2_lock.c:442-510","check_lock_sequence and store_lock_sequence exported for KUnit visibility in src/protocol/smb2/smb2_lock.c","tests/ksmbd-torture/categories/T29_resilient.sh; S04_lock_stress.sh","TESTS/SWEEP/logs/smb2.replay.log","high","failing","Exact NTSTATUS behavior is still wrong in local logs.","Good implementation exposure plus real failing artifact."
"LEASE_PARENT_BREAK","SMB3 dirlease","src/protocol/smb2/smb2_query_set.c:4094-4115; src/fs/oplock.c","lease helper functions exported for KUnit visibility in src/fs/oplock.c","tests/ksmbd-torture/categories/T15_lease.sh; T26_notify.sh","TESTS/SWEEP/summary.txt smb2.dirlease lines","high","failing","Directory lease and notify interaction remains red.","State machine exists, proof shows failure."
"RESILIENT_REQUEST","SMB2 resilient handles","src/fs/ksmbd_resilient.c:42-111","none found","tests/ksmbd-torture/categories/T29_resilient.sh","none normalized","low","partial","Most category functions are placeholders; no local live artifact yet.","Implementation exists, proof is weak."
"TRANS_DCERPC_CMD","SMB1 named-pipe transact","src/protocol/smb1/smb1pdu.c:2634-2670","none found","tests/ksmbd-torture/categories/T39_pipes.sh; T56_pipe_rpc.sh","none normalized","low","partial","Need actual IPC$ RPC runs and packet captures.","Enabled path, proof mostly category intent."
"NT_TRANSACT_SECONDARY","SMB1 fragmentation","src/protocol/smb1/smb1pdu.c:10370-10382","none found","none","none","high","failing","There is no implementation and no proof because the code is a stub.","This is a direct compliance gap."
"ANDX_CHAIN_PROGRESS","SMB1 AndX","src/protocol/smb1/smb1pdu.c:300-341","none found","tests/ksmbd-torture/categories/T40_smb1.sh:T40.09","none normalized","low","partial","Need malformed chain protocol tests.","Parser guards are present, proof is absent."
"TRANS2_OFFSET_BOUNDS","SMB1 TRANS2","src/protocol/smb1/smb1pdu.c:8306-8325","none found","tests/ksmbd-torture/categories/T40_smb1.sh:T40.10","none normalized","low","partial","No dedicated negative-packet tests discovered.","Security hardening exists without proof."
"QUIC_STATE_MACHINE","SMB over QUIC","src/transport/transport_quic.c:195-200,3181,3283,2523-2535","none found","tests/ksmbd-torture/categories/T33_quic.sh","none normalized","low","not run","No QUIC interop artifacts found locally.","Large code surface, very weak proof."
"SMBD_CREDIT_INVARIANT","SMB Direct","src/transport/transport_rdma.c:178-188,704-815","none found","none normalized in tree","none normalized","low","not run","No RDMA interop artifacts found locally.","Implementation invariant only, not compliance proof."
"AAPL_CREATE_CONTEXT","Apple AAPL","src/protocol/smb2/smb2fruit.c:48-60,208-219","fruit parser helper not exported for KUnit","tests/ksmbd-torture/categories/T34_fruit.sh","none normalized","low","not run","Need macOS or protocol-harness execution.","Apple surface remains mostly unproven."
