"Context","Direction","Identifier","WireName","NameLengthRule","DataOffsetRule","DataLengthRule","Implemented","CurrentStatus","Source","Notes"
"Generic create-context parser","request","CREATE_CTX_NEXT_ALIGN","various","NameLength >= 4","Next must be 8-byte aligned and within remaining length","Computed context length must bound name and value","yes","partial","src/protocol/smb2/smb2_create.c:1109-1141","This is the common gate for registered create-context handlers."
"Generic create-context parser","request","CREATE_CTX_NAME_OFFSET_FIXED","various","NameOffset must equal offsetof(create_context, Buffer)","ValueOffset must be 8-byte aligned","Name and value must fit within `cc_len`","yes","partial","src/protocol/smb2/smb2_create.c:1125-1141; src/fs/oplock.c:3376-3401","The parser rejects non-canonical context packing."
"Security descriptor buffer","request","CREATE_CTX_SECD_BOUNDS","SecD","standard 4-byte name","DataOffset + DataLength must cover `create_sd_buf_req`","Minimum SD blob structure must fit","yes","partial","src/protocol/smb2/smb2_create.c:769-796","KUnit-visible helper exists, but live malformed-packet proof is weak."
"Durable reconnect v2","request","CREATE_CTX_DH2C","DH2C","4","DataOffset + DataLength must cover `create_durable_reconn_v2_req`","Minimum size of reconnect-v2 request required","yes","partial","src/protocol/smb2/smb2_create.c:888-924","Also enforces CreateGuid and, conditionally, ClientGUID identity."
"Durable reconnect v1","request","CREATE_CTX_DHNC","DHnC","4","DataOffset + DataLength must cover `create_durable_reconn_req`","Minimum size of reconnect-v1 request required","yes","partial","src/protocol/smb2/smb2_create.c:968-1006","Reconnect timeout is checked before accepting the handle."
"Durable request v2","request","CREATE_CTX_DH2Q","DH2Q","4","DataOffset + DataLength must cover `create_durable_req_v2`","Minimum size of request-v2 blob required","yes","partial","src/protocol/smb2/smb2_create.c:1029-1071","Replay and CreateGuid collision behavior is wired but not fully green."
"Durable request v1","request","CREATE_CTX_DHNQ","DHnQ","4","No extra per-field parser beyond generic context constraints","Grant requires batch oplock or handle-caching lease","yes","partial","src/protocol/smb2/smb2_create.c:1072-1090","Simpler than DH2Q but still client-visible."
"POSIX create context","request","CREATE_CTX_POSIX_REQ","POSIX tag GUID","16","DataOffset + DataLength must cover POSIX request blob","Parser checks context bounds before use","yes","partial","src/protocol/smb2/smb2_create.c:1301-1317","Only active when POSIX extensions are negotiated on the tree."
"Timewarp create context","request","CREATE_CTX_TWRP_REQ","TWrp","4","Context is parsed only if offsets remain valid","Snapshot path resolution depends on context payload","yes","partial","src/protocol/smb2/smb2_create.c:1258-1277,1756-1816,1866-1874","Needs VSS-backed interop."
"Allocation size create context","request","CREATE_CTX_ALSI_REQ","AlSi","4","Bounds validated before data use","DataLength must cover allocation-size payload","yes","partial","src/protocol/smb2/smb2_create.c:2699-2715","Set-on-create semantic needs dedicated proof."
"AAPL create context","request","CREATE_CTX_AAPL_REQ","AAPL","exactly 4","Generic parser plus fruit validator; value offset follows generic 8-byte rule","DataLength must be >= `fruit_client_info` and <= max cap","yes","partial","src/protocol/smb2/smb2_create.c:2744-2760; src/protocol/smb2/smb2fruit.c:48-60,208-219","Current code intentionally suppresses unsupported AAPL capabilities."
"Lease response context","response","CREATE_CTX_RQLS_RSP","RqLs","4","DataOffset set to embedded lease payload offset","DataLength equals lease or lease-v2 struct size","yes","partial","src/fs/oplock.c:3271-3293; src/protocol/smb2/smb2_create.c:2922-2940","Response only emitted when a lease is granted."
"Maximal access response","response","CREATE_CTX_MXAC_RSP","MxAc","4","DataOffset is canonical embedded data offset","DataLength fixed to response struct payload size","yes","partial","src/fs/oplock.c:3476-3482; src/protocol/smb2/smb2_create.c:2945-2972","Often requested by Windows clients."
"Query on-disk ID response","response","CREATE_CTX_QFID_RSP","QFid","4","DataOffset is canonical embedded data offset","DataLength fixed to 32 bytes","yes","partial","src/fs/oplock.c:3498-3504; src/protocol/smb2/smb2_create.c:2977-2996","Useful for inode/fileid interop."
"Durable handle response v1","response","CREATE_CTX_DHNQ_RSP","DHnQ","4","DataOffset canonical","DataLength fixed to 8 bytes","yes","partial","src/fs/oplock.c:3424-3430; src/protocol/smb2/smb2_create.c:3001-3036","Response emitted when durable-v1 open is granted."
"Durable handle response v2","response","CREATE_CTX_DH2Q_RSP","DH2Q","4","DataOffset canonical","DataLength fixed to 8 bytes in current response builder","yes","partial","src/fs/oplock.c:3448-3454; src/protocol/smb2/smb2_create.c:3001-3036","Grant path exists, but durable-v2 interop is still failing broadly."
"POSIX response context","response","CREATE_CTX_POSIX_RSP","POSIX tag GUID","16","DataOffset canonical","DataLength fixed to 56 bytes","yes","partial","src/fs/oplock.c:3539-3549; src/protocol/smb2/smb2_create.c:3040-3059","Linux-specific extension area requiring dedicated Linux client proof."
"AAPL response context","response","CREATE_CTX_AAPL_RSP","AAPL","4","DataOffset canonical","DataLength derived from total packed response minus header","yes","partial","src/fs/oplock.c:3603-3646; src/protocol/smb2/smb2_create.c:3065-3081","Variable-length model string makes packet capture validation important."
"Create response overall","response","CREATE_CTX_RESPONSE_OFFSET","n/a","n/a","CreateContextsOffset is set to offsetof(smb2_create_rsp, Buffer) when any contexts exist","CreateContextsLength accumulates each packed context size","yes","partial","src/protocol/smb2/smb2_create.c:2915-2916,3089-3091","Important for clients walking the response context chain."
"Create response chaining","response","CREATE_CTX_RESPONSE_NEXT_FIELDS","various","n/a","Each previously packed context's Next is filled with the prior context size as another context is appended","Final context keeps Next at 0","yes","partial","src/protocol/smb2/smb2_create.c:2939-3033,3055-3081","This needs packet-level validation to ensure 8-byte packing remains canonical."
