"Area","Feature","Identifier","Dialects","Direction","Implemented","CurrentStatus","SpecRule","Source","Notes"
"NEGOTIATE","Single negotiate per connection","SECOND_NEGOTIATE_DISCONNECT","2.0.2-3.1.1","request","yes","partial","A second SMB2 NEGOTIATE on an established connection must disconnect the connection.","src/protocol/smb2/smb2_negotiate.c:767-778","Implemented with disconnect semantics; needs interop proof."
"NEGOTIATE","Dialect count non-zero","DIALECT_COUNT_NONZERO","2.0.2-3.1.1","request","yes","partial","DialectCount must be non-zero.","src/protocol/smb2/smb2_negotiate.c:789-793","Status handling exists."
"NEGOTIATE","Dialect count bound","SMB2_MAX_DIALECTS_GUARD","2.0.2-3.1.1","request","yes","partial","Reject oversized dialect arrays to preserve bounds and spec sanity.","src/protocol/smb2/smb2_negotiate.c:799-810","Implementation caps at 8 dialects."
"NEGOTIATE","Context offset alignment","NEGOTIATE_CONTEXT_OFFSET_8B","3.1.1","request","yes","partial","NegotiateContextOffset must be 8-byte aligned.","src/protocol/smb2/smb2_negotiate.c:818-824","Needs targeted negative tests."
"NEGOTIATE","Dialect list within context offset","DIALECT_ARRAY_BEFORE_NEG_CONTEXT","3.1.1","request","yes","partial","Dialect array must not overlap negotiate contexts.","src/protocol/smb2/smb2_negotiate.c:830-836","Implemented with bounds checks."
"NEGOTIATE","Mandatory preauth context","MANDATORY_PREAUTH_CONTEXT","3.1.1","request","yes","partial","SMB 3.1.1 negotiate must include exactly one PREAUTH_INTEGRITY context.","src/protocol/smb2/smb2_negotiate.c:898-903,645-654","Duplicate handling exists; needs full wire coverage."
"NEGOTIATE","Preauth hash algorithm count","PREAUTH_HASH_COUNT","3.1.1","request","yes","partial","HashAlgorithmCount must be >= 1.","src/protocol/smb2/smb2_negotiate.c:298-307","Returns STATUS_INVALID_PARAMETER."
"NEGOTIATE","Preauth hash overlap","PREAUTH_HASH_OVERLAP","3.1.1","request","yes","partial","If no supported preauth hash overlaps, return STATUS_NO_PREAUTH_INTEGRITY_HASH_OVERLAP.","src/protocol/smb2/smb2_negotiate.c:317-322","Only SHA-512 accepted."
"NEGOTIATE","Preauth hash algorithm","PREAUTH_SHA512_ONLY","3.1.1","request","yes","partial","Current implementation only supports SHA-512.","src/protocol/smb2/smb2_negotiate.c:909-913","Correct for current support surface, but must be documented."
"NEGOTIATE","Encryption context duplicate reject","ENCRYPTION_CONTEXT_DUPLICATE","3.1.1","request","yes","partial","Duplicate ENCRYPTION_CAPABILITIES contexts must be rejected.","src/protocol/smb2/smb2_negotiate.c:661-672","Needs negative interop proof."
"NEGOTIATE","Encryption cipher selection","ENCRYPTION_SERVER_PREFERENCE","3.0-3.1.1","request","yes","partial","Server must choose by server preference among overlapping ciphers.","src/protocol/smb2/smb2_negotiate.c:352-389","Implements AES-256-GCM > AES-128-GCM > AES-256-CCM > AES-128-CCM."
"NEGOTIATE","Compression context duplicate reject","COMPRESSION_CONTEXT_DUPLICATE","3.1.1","request","yes","partial","Duplicate COMPRESSION_CAPABILITIES contexts must be rejected.","src/protocol/smb2/smb2_negotiate.c:672-679","Implemented in parser."
"NEGOTIATE","Compression algorithm count","COMPRESSION_COUNT_NONZERO","3.1.1","request","yes","partial","CompressionAlgorithmCount must be > 0.","src/protocol/smb2/smb2_negotiate.c:422-430","Returns STATUS_INVALID_PARAMETER."
"NEGOTIATE","Compression overlap set","COMPRESSION_COMMON_SET","3.1.1","request","partial","non-compliant","Server should negotiate the supported overlap, not collapse to one ad hoc algorithm without full semantics.","src/protocol/smb2/smb2_negotiate.c:411-467","Current code selects one algorithm and mishandles no-overlap/NONE semantics."
"NEGOTIATE","Signing capabilities count","SIGNING_COUNT_NONZERO","3.1.1","request","yes","partial","SigningAlgorithmCount must be > 0.","src/protocol/smb2/smb2_negotiate.c:481-490","Returns STATUS_INVALID_PARAMETER."
"NEGOTIATE","Signing overlap selection","SIGNING_FIRST_SUPPORTED_CLIENT_ORDER","3.1.1","request","yes","partial","Server must choose the first client-offered signing algorithm it supports.","src/protocol/smb2/smb2_negotiate.c:500-535","Needs interop proof with AES-CMAC, AES-GMAC, HMAC-SHA256."
"NEGOTIATE","Transport capabilities context","TRANSPORT_CAPABILITIES_CONTEXT","3.1.1","request/rsp","partial","non-compliant","Transport-level security capability must reflect actual secure transport state.","src/protocol/smb2/smb2_negotiate.c:539-551,132-140","Current code latches client flag into conn->transport_secured."
"NEGOTIATE","RDMA transform count","RDMA_TRANSFORM_COUNT_NONZERO","3.1.1","request","yes","partial","TransformCount must be > 0 if context is present.","src/protocol/smb2/smb2_negotiate.c:554-576","Implemented."
"NEGOTIATE","RDMA transform overlap and truthfulness","RDMA_TRANSFORM_NEGOTIATION","3.1.1","request/rsp","partial","non-compliant","Advertised RDMA transforms must be tied to actual supported and enforced transforms.","src/protocol/smb2/smb2_negotiate.c:554-595,109-129","Current code records client list without full supported-set intersection."
"NEGOTIATE","POSIX negotiate context","POSIX_EXTENSIONS_AVAILABLE","3.1.1","request/rsp","yes","partial","POSIX negotiate context indicates SMB3 POSIX support.","src/protocol/smb2/smb2_negotiate.c:145-147,708-710","Needs Linux client interop proof."
"NEGOTIATE","NetName negotiate context","NETNAME_NEGOTIATE_CONTEXT","3.1.1","request","yes","partial","NetName may be validated against server name for compatibility diagnostics.","src/protocol/smb2/smb2_negotiate.c:679-707","Current behavior logs mismatch but does not reject."
"NEGOTIATE","Response preauth context emission","PREAUTH_CONTEXT_RESPONSE","3.1.1","response","yes","partial","SMB 3.1.1 response must include PREAUTH_INTEGRITY context.","src/protocol/smb2/smb2_negotiate.c:157-187","Implemented."
"NEGOTIATE","Response encryption context emission","ENCRYPTION_CONTEXT_RESPONSE","3.1.1","response","yes","partial","Include ENCRYPTION_CAPABILITIES when encryption is negotiated/supported.","src/protocol/smb2/smb2_negotiate.c:188-202","Needs exact dialect/capability validation."
"NEGOTIATE","Response compression context emission","COMPRESSION_CONTEXT_RESPONSE","3.1.1","response","partial","non-compliant","Compression response must truthfully express negotiated compression behavior.","src/protocol/smb2/smb2_negotiate.c:203-219","Depends on fixing common-set selection."
"NEGOTIATE","Response signing capabilities emission","SIGNING_CONTEXT_RESPONSE","3.1.1","response","yes","partial","Response may include signing capabilities when signing was negotiated.","src/protocol/smb2/smb2_negotiate.c:230-244","Needs exact 3.1.1 semantics verification."
"NEGOTIATE","Response RDMA transform emission","RDMA_TRANSFORM_CONTEXT_RESPONSE","3.1.1","response","partial","non-compliant","Response must only emit supported RDMA transforms.","src/protocol/smb2/smb2_negotiate.c:245-260","Depends on real supported-set calculation."
"NEGOTIATE","Response transport capabilities emission","TRANSPORT_CAPABILITIES_RESPONSE","3.1.1","response","partial","non-compliant","Response must emit transport capabilities only on actually secured transports.","src/protocol/smb2/smb2_negotiate.c:267-275","Current gating uses conn->transport_secured polluted by request context."
"NEGOTIATE","Server GUID stability","SERVER_GUID_STABLE","2.0.2-3.1.1","response","yes","partial","ServerGUID must remain stable across reconnect-sensitive flows.","src/protocol/smb2/smb2_negotiate.c:1003-1010","Implementation comment claims startup initialization."
"NEGOTIATE","Server start time stability","SERVER_START_TIME","2.0.2-3.1.1","response","yes","partial","ServerStartTime should reflect actual server start time.","src/protocol/smb2/smb2_negotiate.c:1012-1020","Lazy initialization still needs race and persistence validation."
"NEGOTIATE","Security mode response","SECURITY_MODE_RESPONSE","2.0.2-3.1.1","response","yes","partial","Signing-enabled and signing-required response bits must reflect server policy.","src/protocol/smb2/smb2_negotiate.c:1030-1040","Needs matrix against AUTO/MANDATORY/OFF modes."

