"Command","FieldOrRule","Identifier","Dialects","Direction","ValidationType","Implemented","TestCoverage","CurrentStatus","SpecRef","Source","Notes"
"NEGOTIATE","DialectCount upper bound","NEG_DIALECT_COUNT_MAX","2.0.2-3.1.1","request","bounds","yes","indirect","partial","MS-SMB2 2.2.3, 3.3.5.4","src/protocol/smb2/smb2_negotiate.c:799-810","Hard cap prevents overflow and rejects oversized dialect arrays."
"NEGOTIATE","NegotiateContextOffset 8-byte aligned","NEG_CONTEXT_OFFSET_ALIGN","3.1.1","request","alignment","yes","indirect","partial","MS-SMB2 2.2.3.1","src/protocol/smb2/smb2_negotiate.c:818-824","Explicit 8-byte alignment check exists."
"NEGOTIATE","NegotiateContextOffset within packet","NEG_CONTEXT_OFFSET_BOUNDS","3.1.1","request","bounds","yes","indirect","partial","MS-SMB2 2.2.3.1","src/protocol/smb2/smb2_negotiate.c:826-829","Rejects context offsets beyond the received SMB2 buffer."
"NEGOTIATE","Dialect array must end before negotiate contexts","NEG_DIALECT_ARRAY_NO_OVERLAP","3.1.1","request","layout","yes","indirect","partial","MS-SMB2 2.2.3.1","src/protocol/smb2/smb2_negotiate.c:830-836","Prevents dialect list / context overlap."
"NEGOTIATE","SMB 3.1.1 PREAUTH context mandatory","NEG_PREAUTH_MANDATORY","3.1.1","request","mandatory field","yes","indirect","partial","MS-SMB2 3.3.5.4","src/protocol/smb2/smb2_negotiate.c:645-654,898-903","Missing PREAUTH_INTEGRITY context is rejected."
"NEGOTIATE","PREAUTH hash algorithm constrained to SHA-512","NEG_PREAUTH_SHA512_ONLY","3.1.1","request","semantic","yes","indirect","partial","MS-SMB2 3.3.5.4","src/protocol/smb2/smb2_negotiate.c:905-917","Correct for current spec requirement, but negative-wire coverage is still missing."
"NEGOTIATE","POSIX negotiate context parsing","NEG_POSIX_CONTEXT_PARSE","3.1.1","request/response","context contract","yes","sparse","partial","MS-SMB2 POSIX extensions","src/protocol/smb2/smb2_negotiate.c:145-147,708-710","Presence is wired; end-to-end interop proof is still sparse."
"SESSION_SETUP","Binding SessionId must be non-zero","SESS_BIND_NONZERO_SESSIONID","3.x","request","semantic","yes","indirect","partial","MS-SMB2 3.3.5.5","src/protocol/smb2/smb2_session.c:743-748","Captured primarily in status-path audit, still relevant to wire contract."
"SESSION_SETUP","Binding capabilities must remain a subset of original connection","SESS_BIND_CAPABILITY_SUBSET","3.x","request","semantic","yes","indirect","partial","MS-SMB2 3.3.5.5","src/protocol/smb2/smb2_session.c:835-846","Important for multichannel compatibility and anti-downgrade behavior."
"SESSION_SETUP","SMB 3.1.1 binding requires valid preauth hash","SESS_BIND_PREAUTH_ONLY_311","3.1.1","request","semantic","yes","indirect","partial","MS-SMB2 3.3.5.5","src/protocol/smb2/smb2_session.c:849-862","Patched so the requirement applies only to SMB 3.1.1, not 3.0/3.0.2."
"SESSION_SETUP","SecurityBufferOffset >= fixed header size","SESS_SECURITY_BUFFER_MIN","2.0.2-3.1.1","request","bounds","yes","indirect","partial","MS-SMB2 2.2.5","src/protocol/smb2/smb2_session.c:991-998","Rejects offsets before the Buffer field."
"SESSION_SETUP","SecurityBufferOffset 8-byte aligned","SESS_SECURITY_BUFFER_ALIGN","2.0.2-3.1.1","request","alignment","yes","indirect","partial","MS-SMB2 2.2.5","src/protocol/smb2/smb2_session.c:991-998","Alignment is enforced before token decoding."
"SESSION_SETUP","Security buffer must remain within packet","SESS_SECURITY_BUFFER_BOUNDS","2.0.2-3.1.1","request","bounds","yes","indirect","partial","MS-SMB2 2.2.5","src/protocol/smb2/smb2_session.c:1000-1008","Prevents OOB access on crafted security blobs."
"SESSION_SETUP","Negotiation token must cover NegotiateFlags header","SESS_TOKEN_MIN_HEADER","2.0.2-3.1.1","request","minimum size","yes","indirect","partial","SPNEGO token parsing contract","src/protocol/smb2/smb2_session.c:1019-1022","Short security tokens are rejected before auth dispatch."
"CREATE","DH2C durable reconnect context length","CREATE_DH2C_LENGTH","3.x","request","minimum size","yes","indirect","partial","MS-SMB2 2.2.13.2.11","src/protocol/smb2/smb2_create.c:888-903","Reconnect V2 request is length-checked before CreateGuid use."
"CREATE","DHnC durable reconnect context length","CREATE_DHNC_LENGTH","2.0.2-3.x","request","minimum size","yes","indirect","partial","MS-SMB2 2.2.13.2.10","src/protocol/smb2/smb2_create.c:968-983","Reconnect V1 request is length-checked before FID use."
"CREATE","DH2Q durable request context length","CREATE_DH2Q_LENGTH","3.x","request","minimum size","yes","indirect","partial","MS-SMB2 2.2.13.2.9","src/protocol/smb2/smb2_create.c:1029-1045","Protects CreateGuid and timeout fields from short-buffer parsing."
"CREATE","DHv2 replay cache validity gate","CREATE_DHV2_PENDING_REPLAY_GATE","3.x","request/response","state contract","yes","indirect","partial","MS-SMB2 3.3.5.9.10-3.3.5.9.12","src/protocol/smb2/smb2_create.c:1561-1569,2882-2890","Replay support exists but local sweep logs still show state mismatches."
"CREATE","AAPL create context length cap","CREATE_AAPL_DATALEN_CAP","2.1-3.1.1","request","bounds","yes","sparse","partial","Apple AAPL create context contract","src/protocol/smb2/smb2fruit.c:39-54","Protects fruit parser from oversized DataLength."
"CREATE","AAPL wire signature must be AAPL","CREATE_AAPL_SIGNATURE","2.1-3.1.1","request/response","identifier","yes","sparse","partial","Apple AAPL contract","src/protocol/smb2/smb2fruit.c:32,54","Useful for macOS compatibility and negative parser tests."
"IOCTL","Flags must be SMB2_0_IOCTL_IS_FSCTL","IOCTL_FLAGS_FSCTL_ONLY","2.0.2-3.1.1","request","enum/value","yes","direct","partial","MS-SMB2 2.2.31","src/protocol/smb2/smb2_ioctl.c:96-107","Rejects any undefined IOCTL flag combinations."
"IOCTL","ChannelSequence validated for handle-bound IOCTL","IOCTL_CHANNEL_SEQUENCE","3.x","request","state contract","yes","indirect","partial","MS-SMB2 3.3.5.2.10","src/protocol/smb2/smb2_ioctl.c:109-123","Important for multichannel and replay-safe state mutation."
"IOCTL","InputOffset lower bound","IOCTL_INPUT_OFFSET_MIN","2.0.2-3.1.1","request","bounds","yes","direct","partial","MS-SMB2 2.2.31","src/protocol/smb2/smb2_ioctl.c:132-147","Offset must not point into the fixed header."
"IOCTL","InputOffset and InputCount within request","IOCTL_INPUT_RANGE_BOUNDS","2.0.2-3.1.1","request","bounds","yes","direct","partial","MS-SMB2 2.2.31","src/protocol/smb2/smb2_ioctl.c:132-147","Protects FSCTL dispatch from OOB request payloads."
"QUERY_INFO","InfoType constrained to FILE/FS/SECURITY/QUOTA","QINFO_INFOTYPE_RANGE","2.0.2-3.1.1","request","enum/value","yes","direct","partial","MS-SMB2 2.2.37","src/protocol/smb2/smb2_query_set.c:2217-2232","Prevents hooks from receiving invalid InfoType values."
"QUERY_INFO","EA input buffer length must exceed request header","QINFO_EA_INPUT_MIN","2.0.2-3.1.1","request","minimum size","yes","indirect","partial","MS-FSCC EA query contract","src/protocol/smb2/smb2_query_set.c:209-231","Short EA query payloads are rejected."
