"Area","Feature","ProtocolScope","Harness","TestOrSuite","EvidenceSource","ObservedResult","Confidence","CurrentStatus","Notes"
"SMB2 Core","NEGOTIATE / SESSION / TREE baseline","SMB2/SMB3","smbtorture sweep","smb2.connect, smb2.session, smb2.tcon","TESTS/SWEEP/summary.txt","Mixed but mostly functional baseline; individual suite lines show successful connect coverage","medium","partial","Core connectivity exists, but this is not enough for a full compliance claim."
"SMB2 Core","CREATE baseline","SMB2/SMB3","smbtorture sweep","smb2.create","TESTS/SWEEP/summary.txt","17 pass / 0 fail / 1 skip in one pass, 16 pass / 1 fail / 1 skip in another","high","partial","Healthy compared with red areas, but still not fully clean."
"SMB2 Core","CREATE without streams","SMB2/SMB3","smbtorture sweep","smb2.create_no_streams","TESTS/SWEEP/summary.txt","0 pass / 1 fail","high","failing","Suggests stream-related or fallback behavior still diverges."
"SMB2 Core","COMPOUND requests","SMB2/SMB3","smbtorture sweep","smb2.compound","TESTS/SWEEP/summary.txt","20 pass / 0 fail","high","partial","Good positive evidence, but async compound coverage still fails."
"SMB2 Core","COMPOUND async","SMB2/SMB3","smbtorture sweep","smb2.compound_async","TESTS/SWEEP/summary.txt","3 or 4 pass / 6 or 7 fail","high","failing","Async compounding remains non-clean."
"SMB2 Core","Credits","SMB2/SMB3","live VM10 run + targeted build proof","smb2.credits","live VM10 runs 2026-03-08 plus current targeted build/test pass","Full smb2.credits suite passed, including multichannel_max_async_credits and multichannel_ipc_max_async_credits; async pipe teardown now also decrements outstanding_async on connection teardown","high","partial","User-visible credit suite is green and one concrete async accounting hole is fixed, but outstanding-credit underflow still needs refreshed live dmesg proof."
"SMB2 Core","Directory enumeration","SMB2/SMB3","smbtorture sweep","smb2.dir","TESTS/SWEEP/summary.txt","Mixed pass/fail and timeout results","medium","partial","Directory state and info-level handling still need work."
"SMB2 Core","GetInfo","SMB2/SMB3","smbtorture sweep","smb2.getinfo","TESTS/SWEEP/summary.txt","8 pass / 0 fail in multiple runs","high","partial","Strong positive signal, but not full info-class coverage."
"SMB2 Core","SetInfo","SMB2/SMB3","smbtorture sweep","smb2.setinfo","TESTS/SWEEP/logs/smb2.setinfo.log","Suite log exists locally; no matrix-quality per-subcase pass extraction yet","low","partial","Need structured result extraction by info class."
"SMB2 Core","Locking","SMB2/SMB3","smbtorture sweep","smb2.lock","TESTS/SWEEP/summary.txt","22 pass / 0 fail / 4 skip in one pass, later timeout-only partials","medium","partial","Nominal locking is better than replay/durable-specific locking."
"SMB2 Core","Change notify","SMB2/SMB3","live VM3 run","smb2.notify","live VM3 runs 2026-03-07","smb2.notify is green end-to-end after notify teardown, recursive propagation, and async cleanup fixes","high","passing","notify-inotify still lacks a refreshed normalized result in this matrix, but the core smb2.notify suite is no longer red."
