"Area","Family","Feature","Identifier","Dialects","Advertised","Implemented","TestCoverage","CurrentStatus","Priority","SpecRef","Source","Notes"
"SMB1","Core","Negotiate","SMB_COM_NEGOTIATE","SMB1","yes","yes","sparse","partial","P2","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:72","Enabled in command table; full SMB1 compatibility still not established."
"SMB1","Core","Session Setup","SMB_COM_SESSION_SETUP_ANDX","SMB1","yes","yes","sparse","partial","P2","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:73","Present in dispatch table; requires interop coverage against Windows and Samba."
"SMB1","Core","Tree Connect","SMB_COM_TREE_CONNECT_ANDX","SMB1","yes","yes","sparse","partial","P2","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:75","Command is wired; compatibility baseline not yet proven."
"SMB1","Core","Tree Disconnect","SMB_COM_TREE_DISCONNECT","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:71","Needs teardown and race coverage."
"SMB1","Core","Logoff","SMB_COM_LOGOFF_ANDX","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:74","Needs session lifecycle validation."
"SMB1","File I/O","Open","SMB_COM_OPEN_ANDX","SMB1","yes","yes","sparse","partial","P2","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:66","Needs DOS mode and access-mask interop coverage."
"SMB1","File I/O","NT Create","SMB_COM_NT_CREATE_ANDX","SMB1","yes","yes","sparse","partial","P1","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:79","High-value open path for SMB1 clients; semantics must align with legacy Windows clients."
"SMB1","File I/O","Read AndX","SMB_COM_READ_ANDX","SMB1","yes","yes","sparse","partial","P2","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:67","Needs signing, oplock, and EOF edge-case testing."
"SMB1","File I/O","Write AndX","SMB_COM_WRITE_ANDX","SMB1","yes","yes","sparse","partial","P2","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:68","Needs short-write and write-through interop validation."
"SMB1","File I/O","Legacy Write","SMB_COM_WRITE","SMB1","yes","yes","sparse","partial","P3","CIFS/NT LM SMB","src/protocol/smb1/smb1ops.c:82","Legacy fallback path still needs protocol validation."
