"Transport","StateOrFeature","Identifier","Implemented","CurrentStatus","PrimarySource","CompatibilityFocus","Notes"
"TCP","Baseline SMB over TCP","TCP_445_BASELINE","yes","partial","src/transport/transport_tcp.c","connection setup, RFC1002 framing, disconnect behavior","Tracked in master matrix only; needs dedicated interop sweeps."
"RDMA","Receive credit pool invariants","RDMA_CREDIT_INVARIANTS","yes","partial","src/transport/transport_rdma.c:691-799","recv_credits + avail == max, teardown audit","Strong internal logic, still needs wire proof."
"RDMA","Receive credit replenishment","RDMA_POST_RECV_CREDITS","yes","partial","src/transport/transport_rdma.c:1145-1206","credit refill correctness under load",""
"RDMA","Send credit waits","RDMA_WAIT_FOR_SEND_CREDITS","yes","partial","src/transport/transport_rdma.c:1325-1367","timeout and disconnect behavior",""
"RDMA","RW credit waits","RDMA_WAIT_FOR_RW_CREDITS","yes","partial","src/transport/transport_rdma.c:1368-1370,2219-2305","large I/O and fairness",""
"RDMA","Negotiated max RW size","RDMA_MAX_RW_SIZE","yes","partial","src/transport/transport_rdma.c:2515,2641-2708","capability truthfulness",""
"RDMA","Disconnect work","RDMA_DISCONNECT_WORK","yes","partial","src/transport/transport_rdma.c:387-409,2400-2425","teardown and wakeup semantics",""
"RDMA","Transform needed decision","RDMA_TRANSFORM_NEEDED","yes","partial","src/transport/transport_rdma.c:1781-1795","when to wrap SMB Direct payloads",""
"RDMA","Transform encryption path","RDMA_TRANSFORM_ENCRYPT","yes","partial","src/transport/transport_rdma.c:1797-1984","wire wrapping and AEAD semantics",""
"RDMA","Transform decryption path","RDMA_TRANSFORM_DECRYPT","yes","partial","src/transport/transport_rdma.c:1985-2131","wire unwrap and validation",""
"RDMA","Transform truthfulness","RDMA_TRANSFORM_ADVERTISEMENT","partial","non-compliant","src/transport/transport_rdma.c:2162-2189; src/protocol/smb2/smb2_negotiate.c:554-595","advertised transform IDs must match enforced support","Known audit defect."
"QUIC","State enum","QUIC_STATE_INITIAL","yes","partial","src/transport/transport_quic.c:196,2086","initial packet handling",""
"QUIC","State enum","QUIC_STATE_HANDSHAKE","yes","partial","src/transport/transport_quic.c:197,3181","TLS handshake in progress",""
"QUIC","State enum","QUIC_STATE_CONNECTED","yes","partial","src/transport/transport_quic.c:198,3283-3301","1-RTT SMB data path",""
"QUIC","State enum","QUIC_STATE_CLOSING","yes","partial","src/transport/transport_quic.c:199,2505","connection close signaling",""
"QUIC","State enum","QUIC_STATE_CLOSED","yes","partial","src/transport/transport_quic.c:200,2523-2535,3893","final teardown state",""
"QUIC","Handshake delegation","QUIC_HANDSHAKE_IPC","yes","partial","src/transport/transport_quic.c:957-1140","userspace TLS delegation correctness",""
"QUIC","Connected-state write gate","QUIC_CONNECTED_WRITE_GATE","yes","partial","src/transport/transport_quic.c:2386","must reject writes before 1-RTT establishment",""
"QUIC","Transport disconnect callback","QUIC_DISCONNECT_CALLBACK","yes","partial","src/transport/transport_quic.c:2511-2535","close and state transitions",""
"QUIC","Transport capability truthfulness","QUIC_TRANSPORT_SECURED","partial","non-compliant","src/protocol/smb2/smb2_negotiate.c:539-551; src/transport/transport_quic.c:2573-2576","secure transport capability must derive from actual QUIC state","Known audit defect."

