"Area","Rule","Identifier","Implemented","CurrentStatus","Source","TestCoverage","SpecRef","Notes"
"SMB1 AndX request parsing","Start AndX scan immediately after SMB header","ANDX_START_OFFSET","yes","partial","src/protocol/smb1/smb1pdu.c:300-307","category T40.09 only","CIFS/NT LM SMB AndX chaining","The parser uses `sizeof(struct smb_hdr) - 1` to locate the first AndX block."
"SMB1 AndX request parsing","Current AndX block must stay within packet bounds","ANDX_BLOCK_IN_BOUNDS","yes","partial","src/protocol/smb1/smb1pdu.c:312-316","category T40.09 only","CIFS/NT LM SMB AndX chaining","Malformed chains that point outside the packet are rejected."
"SMB1 AndX request parsing","Chain terminates on SMB_NO_MORE_ANDX_COMMAND","ANDX_TERMINATION_SENTINEL","yes","partial","src/protocol/smb1/smb1pdu.c:318-319","category T40.09 only","CIFS/NT LM SMB AndX chaining","Normal termination condition."
"SMB1 AndX request parsing","Next AndX offset must point within packet","ANDX_NEXT_OFFSET_BOUNDS","yes","partial","src/protocol/smb1/smb1pdu.c:321-325","category T40.09 only","CIFS/NT LM SMB AndX chaining","Protects the dispatcher from arbitrary offset jumps."
"SMB1 AndX request parsing","Non-forward progress is rejected","ANDX_FORWARD_PROGRESS","yes","partial","src/protocol/smb1/smb1pdu.c:331-337","category T40.09 only","CIFS/NT LM SMB AndX chaining","Important loop-prevention rule."
"SMB1 AndX request parsing","Maximum chain depth is capped at 32","ANDX_MAX_DEPTH_32","yes","partial","src/protocol/smb1/smb1pdu.c:331-337","category T40.09 only","implementation guard","This is an implementation safety bound rather than a protocol-advertised capability."
"SMB1 AndX response construction","Response sub-buffer must fit within allocated response area","ANDX_RESPONSE_BUFFER_BOUNDS","yes","partial","src/protocol/smb1/smb1pdu.c:343-361","none direct","implementation guard","Protects server-side response assembly."
"SMB1 SESSION_SETUP_ANDX response","AndXOffset is set to current PDU length when chaining","ANDX_SESSION_SETUP_RESPONSE_CHAIN","yes","partial","src/protocol/smb1/smb1pdu.c:713-721","category T40.09 only","SMB1 AndX response chaining","Representative AndX response path."
"SMB1 TREE_CONNECT_ANDX response","AndX command is propagated when client requested chaining","ANDX_TREE_CONNECT_RESPONSE_CHAIN","yes","partial","src/protocol/smb1/smb1pdu.c:1298-1303","category T40.09 only","SMB1 AndX response chaining","Common chain target after session setup."
"SMB1 NT_CREATE_ANDX response","AndXOffset and command forwarding preserved","ANDX_NTCREATE_RESPONSE_CHAIN","yes","partial","src/protocol/smb1/smb1pdu.c:3372-3379","category T40.09 only","SMB1 AndX response chaining","Relevant to open->read/write chained clients."
"SMB1 READ_ANDX pipe response","Pipe read supports chained follow-on commands","ANDX_PIPE_READ_RESPONSE_CHAIN","yes","partial","src/protocol/smb1/smb1pdu.c:3563-3619","none direct","SMB1 AndX response chaining","RPC-over-pipe clients can depend on this path."
"SMB1 WRITE_ANDX response","Write response supports chained follow-on commands","ANDX_WRITE_RESPONSE_CHAIN","yes","partial","src/protocol/smb1/smb1pdu.c:3738-3749","none direct","SMB1 AndX response chaining","Needs targeted interop with legacy clients."
"SMB1 CLOSE response","Close response does not emit further AndX by default","ANDX_CLOSE_TERMINATES","yes","partial","src/protocol/smb1/smb1pdu.c:3514-3521","none direct","SMB1 AndX response chaining","Expected end-of-chain style behavior."
"SMB1 LOGOFF_ANDX response","LOGOFF returns AndXCommand=0xFF and AndXOffset=0","ANDX_LOGOFF_FIXED_TERMINATOR","yes","partial","src/protocol/smb1/smb1pdu.c:467-471","none direct","MS-SMB LOGOFF_ANDX response shape","One of the few explicit fixed-format AndX responses."
