"Area","Condition","ExpectedOrCurrentStatus","CurrentStatusClass","PrimarySource","WhyItMatters","Notes"
"SMB2 SESSION_SETUP","Binding request with SessionId == 0","STATUS_INVALID_PARAMETER","implemented","src/protocol/smb2/smb2_session.c:743-748","Client compatibility on malformed bind",""
"SMB2 SESSION_SETUP","Too many in-progress sessions","STATUS_TOO_MANY_SESSIONS","implemented","src/protocol/smb2/smb2_session.c:756","Resource exhaustion must map cleanly",""
"SMB2 SESSION_SETUP","Binding dialect mismatch vs existing session","STATUS_REQUEST_NOT_ACCEPTED","implemented","src/protocol/smb2/smb2_session.c:800-806","Spec-specific bind rejection",""
"SMB2 SESSION_SETUP","Binding signing-mode mismatch","STATUS_INVALID_PARAMETER","implemented","src/protocol/smb2/smb2_session.c:821-829","Distinct from generic access denial",""
"SMB2 SESSION_SETUP","Binding capabilities not subset of original connection","STATUS_INVALID_PARAMETER","implemented","src/protocol/smb2/smb2_session.c:835-846","Bind validation correctness",""
"SMB2 SESSION_SETUP","SMB 3.1.1 binding without valid preauth hash","STATUS_INVALID_PARAMETER","implemented","src/protocol/smb2/smb2_session.c:849-862","Required for 3.1.1 bind correctness","Patched in this turn to apply only to 3.1.1."
"SMB2 SESSION_SETUP","Binding to anonymous session","STATUS_REQUEST_NOT_ACCEPTED","implemented","src/protocol/smb2/smb2_session.c:896-899","Multichannel must not bind anonymous sessions",""
"SMB2 SESSION_SETUP","Binding requested but multichannel unsupported","STATUS_REQUEST_NOT_ACCEPTED","implemented","src/protocol/smb2/smb2_session.c:939-942","Client fallback behavior depends on exact code",""
"SMB2 SESSION_SETUP","More auth processing required","STATUS_MORE_PROCESSING_REQUIRED","implemented","src/protocol/smb2/smb2_session.c:1065","Auth continuation semantics",""
"SMB2 SESSION_SETUP","Generic rc mapping: invalid parameter","STATUS_INVALID_PARAMETER","implemented","src/protocol/smb2/smb2_session.c:1112","Avoids losing specific pre-set status",""
"SMB2 SESSION_SETUP","Generic rc mapping: session deleted","STATUS_USER_SESSION_DELETED","implemented","src/protocol/smb2/smb2_session.c:1114","Reconnect/replay behavior",""
"SMB2 SESSION_SETUP","Generic rc mapping: reconnect required","STATUS_NETWORK_SESSION_EXPIRED","implemented","src/protocol/smb2/smb2_session.c:1118","Client reconnect logic",""
"SMB2 NEGOTIATE","Invalid preauth hash count or malformed preauth context","STATUS_INVALID_PARAMETER","implemented","src/protocol/smb2/smb2_negotiate.c:298-307","Mandatory negative-path behavior",""
"SMB2 NEGOTIATE","No preauth hash overlap","STATUS_NO_PREAUTH_INTEGRITY_HASH_OVERLAP","implemented","src/protocol/smb2/smb2_negotiate.c:322","Specific 3.1.1 negotiation failure",""
"SMB2 NEGOTIATE","Malformed compression context","STATUS_INVALID_PARAMETER","implemented","src/protocol/smb2/smb2_negotiate.c:422-440","Rejects invalid count/length",""
"SMB2 NEGOTIATE","Unsupported dialect init for 2.x/3.x path","STATUS_NOT_SUPPORTED","implemented","src/protocol/smb2/smb2_negotiate.c:945-979","Dialect fallback behavior",""
"SMB2 NEGOTIATE","Insufficient resources in negotiate","STATUS_INSUFFICIENT_RESOURCES","implemented","src/protocol/smb2/smb2_negotiate.c:1067","Client retry/backoff semantics",""
"FSCTL PIPE_WAIT","Pipe unavailable after wait window","STATUS_IO_TIMEOUT","implemented/non-compliant","src/fs/ksmbd_fsctl_extra.c:252-258","Current handler uses simplified polling model","Exact code is correct for stub behavior, semantics are not."
"FSCTL PIPE_WAIT","Malformed request structure","success without error","non-compliant","src/fs/ksmbd_fsctl_extra.c:206-212","Likely diverges from stricter client expectations","Needs exact contract validation."
"FSCTL FILE_LEVEL_TRIM","No write permission","STATUS_ACCESS_DENIED","implemented","src/fs/ksmbd_fsctl_extra.c:105","Access-control compatibility",""
"FSCTL FILE_LEVEL_TRIM","Input too small or invalid range count","STATUS_INVALID_PARAMETER","implemented","src/fs/ksmbd_fsctl_extra.c:110-120","Contract validation",""
"FSCTL FILE_LEVEL_TRIM","Invalid handle","STATUS_INVALID_HANDLE","implemented","src/fs/ksmbd_fsctl_extra.c:131","Handle semantics",""
"FSCTL SET_COMPRESSION","Unsupported compression backend","STATUS_NOT_SUPPORTED","implemented","src/fs/ksmbd_fsctl.c:626-634","Windows clients key off this exact status",""
"FSCTL NOT SUPPORTED fallback","Unimplemented FSCTL handler","STATUS_NOT_SUPPORTED","implemented","src/fs/ksmbd_fsctl.c:691-704","Capability truthfulness",""
"FSCTL COPYCHUNK","Cross-filesystem copy","STATUS_OBJECT_TYPE_MISMATCH","implemented","src/fs/ksmbd_fsctl.c:1220-1223","Exact copychunk failure mapping",""
"FSCTL COPYCHUNK","Lock conflict during copy","STATUS_FILE_LOCK_CONFLICT","implemented","src/fs/ksmbd_fsctl.c:1268-1282","Client retry semantics",""
"FSCTL OFFLOAD_WRITE","Invalid ODX token","STATUS_INVALID_TOKEN","implemented","src/fs/ksmbd_fsctl.c:2786-2798","ODX contract correctness",""
"FSCTL QUERY_POSIX_WHOAMI","Output buffer too small","STATUS_BUFFER_TOO_SMALL","implemented","src/fs/ksmbd_fsctl.c:3030","Client buffer retry behavior",""
"SMB1 NT_TRANSACT","Unsupported NT_TRANSACT function","STATUS_NOT_SUPPORTED","implemented/non-compliant","src/protocol/smb1/smb1pdu.c:10362-10364","Part of incomplete SMB1 surface",""
"SMB1 NT_TRANSACT_SECONDARY","Any secondary fragment","STATUS_NOT_SUPPORTED","implemented/non-compliant","src/protocol/smb1/smb1pdu.c:10370-10383","Breaks fragmented NT_TRANSACT compatibility",""
"SMB1 FIND","Obsolete SMB_COM_FIND / FIND_UNIQUE fallback","STATUS_NOT_IMPLEMENTED","implemented/non-compliant","src/protocol/smb1/smb1pdu.c:10392-10402","Forces fallback to TRANS2_FIND_FIRST",""
"DCE/RPC BIND","Unsupported protocol version in bind","DCERPC_BIND_NAK_RSN_PROTOCOL_VERSION_NOT_SUPPORTED","implemented","ksmbd-tools/mountd/rpc.c:1141-1161","Client bind fallback behavior","Not an NTSTATUS, but part of wire-compatibility."

